,text,categorys,polarity
0,"This computer periodically crashes (Office, IPhoto, Safari).","['OPERATION_PERFORMANCE', 'SOFTWARE']",negative
1,It takes a long time to get on the Web and to change Web Sites.,"['OPERATION_PERFORMANCE', 'CONNECTIVITY']",negative
2,Locks up she searching for updates.,['OPERATION_PERFORMANCE'],negative
3,Just to be clear.,[],na
4,I have been an Apple user since they switched to Intel.,[],na
5,I have had Macbook PROs and Macbook Airs and have never had a problem.,[],na
6,It seems that this computer might be a lemon.,['QUALITY'],negative
7,I purchased it through Amazon.,[],na
8,I have had one complaint into the supplier but got little support.,[],na
9,I am taking the computer to Apple to see what they think.,[],na
10,"I purchased my Macbook Pro Retina from my school since I had a student discount, but I would gladly purchase it from Amazon for full price again if I had too.","['GENERAL', 'PRICE']",mixed
11,"The Retina is great, its amazingly fast when it boots up because of the SSD storage and the clarity of the screen is amazing as well.","['GENERAL', 'OPERATION_PERFORMANCE', 'HARD_DISC', 'DISPLAY']",positive
12,But if you buy this i would highly recommend that you buy a case and screen protector for this machine as they are known to be quite fragile.,"['QUALITY', 'DISPLAY']",negative
13,"Count me as extremely satisfied, it's a perfect computer.",['GENERAL'],positive
14,"I just bought this computer from the Apple Store, and I couldn't be more impressed with it.",['GENERAL'],positive
15,"It has a stunning retina display, and is very fast.","['DISPLAY', 'OPERATION_PERFORMANCE']",positive
16,The solid-state memory makes it a lot faster than previous MacBook Pro models that used a spinning hard drive.,[],na
17,"This computer is good for anything, and it has really superseded my high expectations.","['MISCELLANEOUS', 'GENERAL']",positive
18,"Also, the sound quality from the speakers is crystal clear, and everything is just sleek and smooth.","['MULTIMEDIA_DEVICES', 'DESIGN_FEATURES', 'OPERATION_PERFORMANCE']",positive
19,"The HD display is sensational, and now watching any movie is a very enjoyable experience for me.","['DISPLAY', 'MISCELLANEOUS']",positive
20,"No hardware issues, as is common with any Apple product.","['HARDWARE', 'COMPANY']",positive
21,"Great product, and couldn't be happier with it.",['GENERAL'],positive
22,"awesome laptop, i love it",['GENERAL'],positive
23,I love my new ThinkPad!,['GENERAL'],positive
24,"It gives me everything I need from a computer and with the long lasting battery, it also gives me mobility.","['GENERAL', 'BATTERY', 'PORTABILITY']",positive
25,I can use it anywhere.,['PORTABILITY'],positive
26,It was a great purchase.,['GENERAL'],positive
27,All the sturdy and substantial feel you expect from a Thinkpad.,['QUALITY'],positive
28,Average performance on almost every benchmark but priced accordingly.,"['OPERATION_PERFORMANCE', 'PRICE']",mixed
29,Below average on the w-fi adapter which I'm still trying to get to the bottom of.,['CONNECTIVITY'],negative
30,If the wi-fi adapter will not support duplex operation (still trying to get to the bottom of that) that's a noticeable drawback I'll be grousing about for the entire time I use it.,[],na
31,Great laptop.,['GENERAL'],positive
32,Fast.,['OPERATION_PERFORMANCE'],positive
33,Works very well.,['OPERATION_PERFORMANCE'],positive
34,Would purchase again.,['GENERAL'],positive
35,A good value for the money.,"['GENERAL', 'PRICE']",mixed
36,Quite pleased with it.,['GENERAL'],positive
37,Fast enough for my purposes.,['OPERATION_PERFORMANCE'],positive
38,No bloatware from third party parasites to uninstall.,"['SOFTWARE', 'DESIGN_FEATURES']",positive
39,Excellent keyboard and crisp screen.,"['KEYBOARD', 'DISPLAY']",positive
40,Battery could be better but it has robust processor and plenty of RAM so that is a trade off I suppose.,"['BATTERY', 'CPU', 'MEMORY']",mixed
41,I'm glad to have it and it showed up in only a few days.,['GENERAL'],positive
42,"The laptop itself is very good, it could be better, but not bad at all for it's price point.","['GENERAL', 'PRICE']",neutral
43,It does everything I need.,['GENERAL'],positive
44,The big deal with this was Windows 7.,['OS'],positive
45,"I had searched everywhere for a Windows 7 laptop, and all I could find was that awful Windows 8.",[],na
46,When I saw this I grabbed it.,['GENERAL'],positive
47,It has met all my needs.,['GENERAL'],positive
48,Just what I expected.,['GENERAL'],positive
49,I don't have any complains about this computer,['GENERAL'],positive
50,Outstanding laptop and very well built.,"['GENERAL', 'QUALITY']",positive
51,This unit will replace my old desktop.,[],na
52,The retina display is fantastic.,['DISPLAY'],positive
53,One of the best thing i have bought in years.,['GENERAL'],positive
54,"Great PC, light and powerful.","['GENERAL', 'DESIGN_FEATURES', 'OPERATION_PERFORMANCE']",positive
55,Is just amazing.=),['GENERAL'],positive
56,The glare of the glossy-retina display is unbearable.,['DISPLAY'],negative
57,Do not buy a mac until this issue is resolved.,"['GENERAL', 'COMPANY']",negative
58,"Performs as advertised, if not better!",['OPERATION_PERFORMANCE'],positive
59,Super light weight (I never cared either way about weight until now).,['DESIGN_FEATURES'],positive
60,Feels like solid state.,['QUALITY'],positive
