,rid,sid,text,category_polarity_list,categorys,category_num
0,79,79:0,Being a PC user my whole life....,[],[],0
1,79,79:1,This computer is absolutely AMAZING!!!,"[('LAPTOP#GENERAL', 'positive')]",['LAPTOP#GENERAL'],1
2,79,79:2,10 plus hours of battery...,"[('BATTERY#OPERATION_PERFORMANCE', 'positive')]",['BATTERY#OPERATION_PERFORMANCE'],1
3,79,79:3,super fast processor and really nice graphics card..,"[('CPU#OPERATION_PERFORMANCE', 'positive'), ('GRAPHICS#GENERAL', 'positive')]","['CPU#OPERATION_PERFORMANCE', 'GRAPHICS#GENERAL']",2
4,79,79:4,and plenty of storage with 250 gb(though I will upgrade this and the ram..),"[('HARD_DISC#DESIGN_FEATURES', 'positive')]",['HARD_DISC#DESIGN_FEATURES'],1
5,79,79:5,This computer is really fast and I'm shocked as to how easy it is to get used to...,"[('LAPTOP#OPERATION_PERFORMANCE', 'positive'), ('LAPTOP#USABILITY', 'positive')]","['LAPTOP#OPERATION_PERFORMANCE', 'LAPTOP#USABILITY']",2
6,79,79:6,I've only had mine a day but I'm already used to it...,"[('LAPTOP#USABILITY', 'positive')]",['LAPTOP#USABILITY'],1
7,79,79:7,MACS ARE AMAZING!!!,[],[],0
8,79,79:8,GET THIS COMPUTER FOR PORTABILITY AND FAST PROCESSING!!!,"[('LAPTOP#PORTABILITY', 'positive'), ('CPU#OPERATION_PERFORMANCE', 'positive')]","['LAPTOP#PORTABILITY', 'CPU#OPERATION_PERFORMANCE']",2
9,10,10:0,the laptop was really good and it goes really fast just the way i thought it would of run.,"[('LAPTOP#GENERAL', 'positive'), ('LAPTOP#OPERATION_PERFORMANCE', 'positive')]","['LAPTOP#GENERAL', 'LAPTOP#OPERATION_PERFORMANCE']",2
10,10,10:1,i would really recommend to any person out there to get this laptop cause its really worth it.,"[('LAPTOP#GENERAL', 'positive')]",['LAPTOP#GENERAL'],1
11,10,10:2,and its really cheap and you wont regret buying it.,"[('LAPTOP#PRICE', 'positive'), ('LAPTOP#GENERAL', 'positive')]","['LAPTOP#PRICE', 'LAPTOP#GENERAL']",2
12,264,264:0,"As a lifelong Windows user, I was extremely pleased to make the change to Mac.",[],[],0
13,264,264:1,"As a computer science student in college, I find that the portability, longevity, and ease of use of this computer make me (shockingly) want to do homework more;","[('LAPTOP#PORTABILITY', 'positive'), ('LAPTOP#QUALITY', 'positive'), ('LAPTOP#USABILITY', 'positive')]","['LAPTOP#PORTABILITY', 'LAPTOP#QUALITY', 'LAPTOP#USABILITY']",3
14,264,264:2,"without a big ol' clunky machine in my backpack, I feel like I can do programming homework anywhere.","[('LAPTOP#DESIGN_FEATURES', 'positive'), ('LAPTOP#PORTABILITY', 'positive'), ('LAPTOP#MISCELLANEOUS', 'positive')]","['LAPTOP#DESIGN_FEATURES', 'LAPTOP#PORTABILITY', 'LAPTOP#MISCELLANEOUS']",3
15,264,264:3,I highly recommend this computer for students looking for a solid machine to get them through college.,"[('LAPTOP#MISCELLANEOUS', 'positive'), ('LAPTOP#QUALITY', 'positive')]","['LAPTOP#MISCELLANEOUS', 'LAPTOP#QUALITY']",2
16,264,264:4,"A great feature is the spotlight search: one can search for documents by simply typing a keyword, rather than parsing tens of file folders for a document.","[('OS#DESIGN_FEATURES', 'positive')]",['OS#DESIGN_FEATURES'],1
17,24,24:0,Oh my goodness-I am not a happy camper.,"[('LAPTOP#GENERAL', 'negative')]",['LAPTOP#GENERAL'],1
18,24,24:1,My HP is very heavy.,"[('LAPTOP#DESIGN_FEATURES', 'negative')]",['LAPTOP#DESIGN_FEATURES'],1
19,24,24:2,Not easy to carry.,"[('LAPTOP#PORTABILITY', 'negative')]",['LAPTOP#PORTABILITY'],1
20,24,24:3,The battery has never worked well.,"[('BATTERY#QUALITY', 'negative'), ('BATTERY#OPERATION_PERFORMANCE', 'negative')]","['BATTERY#QUALITY', 'BATTERY#OPERATION_PERFORMANCE']",2
21,24,24:4,The battery gets so HOT it is scary.,"[('BATTERY#QUALITY', 'negative')]",['BATTERY#QUALITY'],1
22,24,24:5,"Yet, HP won't do anything about the problem.","[('SUPPORT#QUALITY', 'negative')]",['SUPPORT#QUALITY'],1
23,24,24:6,I returned the computer to HP and they kept it for 3 months.,"[('SUPPORT#QUALITY', 'negative')]",['SUPPORT#QUALITY'],1
24,24,24:7,When I got the computer back and realizwed it still was not correct HP told me it was out of warranty and now it was my problem.,"[('SUPPORT#QUALITY', 'negative')]",['SUPPORT#QUALITY'],1
25,24,24:8,"So, you can imagine how unhappy I am with this item.","[('LAPTOP#GENERAL', 'negative')]",['LAPTOP#GENERAL'],1
26,24,24:9,Currently if I use the laptop I can't sit it on my lap because it will burn my legs.,"[('LAPTOP#QUALITY', 'negative')]",['LAPTOP#QUALITY'],1
27,24,24:10,I did contact HP and share how unhappy I am.,[],[],0
28,24,24:11,"Well, they don't care a bunch.","[('SUPPORT#QUALITY', 'negative')]",['SUPPORT#QUALITY'],1
29,24,24:12,"But, at the same time they (the company) would not and could not do anything about my problem.","[('SUPPORT#QUALITY', 'negative')]",['SUPPORT#QUALITY'],1
30,24,24:13,I would  say if you want to buy one of these machines be careful.,"[('LAPTOP#GENERAL', 'negative')]",['LAPTOP#GENERAL'],1
31,24,24:14,"And, if you are going to deal with HP be careful.","[('COMPANY#GENERAL', 'negative')]",['COMPANY#GENERAL'],1
32,24,24:15,"In my house, HP is a nasty word.","[('COMPANY#GENERAL', 'negative')]",['COMPANY#GENERAL'],1
33,277,277:0,"Since I purchased my Toshiba netbook, I have been very pleased with it, I have a laptob and a desktop.","[('LAPTOP#GENERAL', 'positive')]",['LAPTOP#GENERAL'],1
34,277,277:1,The netbook is easier for me to take to bed and carry around with me.,"[('LAPTOP#PORTABILITY', 'positive')]",['LAPTOP#PORTABILITY'],1
35,277,277:2,"The screen takes some getting use to, because it is smaller than the laptop.","[('DISPLAY#USABILITY', 'neutral'), ('DISPLAY#DESIGN_FEATURES', 'neutral')]","['DISPLAY#USABILITY', 'DISPLAY#DESIGN_FEATURES']",2
36,277,277:3,I have not have any problems.,"[('LAPTOP#GENERAL', 'positive')]",['LAPTOP#GENERAL'],1
37,178,178:0,"The Notebook PC,Toshiba Qosmio is the best gift my father could have ever gotten me.","[('LAPTOP#GENERAL', 'positive')]",['LAPTOP#GENERAL'],1
