,rid,sid,text,category,polarity,attribute,entity
0,79,79:0,Being a PC user my whole life....,UNKNOWN#UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
1,79,79:1,This computer is absolutely AMAZING!!!,LAPTOP#GENERAL,positive,GENERAL,LAPTOP
2,79,79:2,10 plus hours of battery...,BATTERY#OPERATION_PERFORMANCE,positive,OPERATION_PERFORMANCE,BATTERY
3,79,79:3,super fast processor and really nice graphics card..,CPU#OPERATION_PERFORMANCE,positive,OPERATION_PERFORMANCE,CPU
4,79,79:3,super fast processor and really nice graphics card..,GRAPHICS#GENERAL,positive,GENERAL,GRAPHICS
5,79,79:4,and plenty of storage with 250 gb(though I will upgrade this and the ram..),HARD_DISC#DESIGN_FEATURES,positive,DESIGN_FEATURES,HARD_DISC
6,79,79:5,This computer is really fast and I'm shocked as to how easy it is to get used to...,LAPTOP#OPERATION_PERFORMANCE,positive,OPERATION_PERFORMANCE,LAPTOP
7,79,79:5,This computer is really fast and I'm shocked as to how easy it is to get used to...,LAPTOP#USABILITY,positive,USABILITY,LAPTOP
8,79,79:6,I've only had mine a day but I'm already used to it...,LAPTOP#USABILITY,positive,USABILITY,LAPTOP
9,79,79:7,MACS ARE AMAZING!!!,UNKNOWN#UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
10,79,79:8,GET THIS COMPUTER FOR PORTABILITY AND FAST PROCESSING!!!,LAPTOP#PORTABILITY,positive,PORTABILITY,LAPTOP
11,79,79:8,GET THIS COMPUTER FOR PORTABILITY AND FAST PROCESSING!!!,CPU#OPERATION_PERFORMANCE,positive,OPERATION_PERFORMANCE,CPU
12,10,10:0,the laptop was really good and it goes really fast just the way i thought it would of run.,LAPTOP#GENERAL,positive,GENERAL,LAPTOP
13,10,10:0,the laptop was really good and it goes really fast just the way i thought it would of run.,LAPTOP#OPERATION_PERFORMANCE,positive,OPERATION_PERFORMANCE,LAPTOP
14,10,10:1,i would really recommend to any person out there to get this laptop cause its really worth it.,LAPTOP#GENERAL,positive,GENERAL,LAPTOP
15,10,10:2,and its really cheap and you wont regret buying it.,LAPTOP#PRICE,positive,PRICE,LAPTOP
16,10,10:2,and its really cheap and you wont regret buying it.,LAPTOP#GENERAL,positive,GENERAL,LAPTOP
17,264,264:0,"As a lifelong Windows user, I was extremely pleased to make the change to Mac.",UNKNOWN#UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
18,264,264:1,"As a computer science student in college, I find that the portability, longevity, and ease of use of this computer make me (shockingly) want to do homework more;",LAPTOP#PORTABILITY,positive,PORTABILITY,LAPTOP
19,264,264:1,"As a computer science student in college, I find that the portability, longevity, and ease of use of this computer make me (shockingly) want to do homework more;",LAPTOP#QUALITY,positive,QUALITY,LAPTOP
20,264,264:1,"As a computer science student in college, I find that the portability, longevity, and ease of use of this computer make me (shockingly) want to do homework more;",LAPTOP#USABILITY,positive,USABILITY,LAPTOP
21,264,264:2,"without a big ol' clunky machine in my backpack, I feel like I can do programming homework anywhere.",LAPTOP#DESIGN_FEATURES,positive,DESIGN_FEATURES,LAPTOP
22,264,264:2,"without a big ol' clunky machine in my backpack, I feel like I can do programming homework anywhere.",LAPTOP#PORTABILITY,positive,PORTABILITY,LAPTOP
23,264,264:2,"without a big ol' clunky machine in my backpack, I feel like I can do programming homework anywhere.",LAPTOP#MISCELLANEOUS,positive,MISCELLANEOUS,LAPTOP
24,264,264:3,I highly recommend this computer for students looking for a solid machine to get them through college.,LAPTOP#MISCELLANEOUS,positive,MISCELLANEOUS,LAPTOP
25,264,264:3,I highly recommend this computer for students looking for a solid machine to get them through college.,LAPTOP#QUALITY,positive,QUALITY,LAPTOP
26,264,264:4,"A great feature is the spotlight search: one can search for documents by simply typing a keyword, rather than parsing tens of file folders for a document.",OS#DESIGN_FEATURES,positive,DESIGN_FEATURES,OS
27,24,24:0,Oh my goodness-I am not a happy camper.,LAPTOP#GENERAL,negative,GENERAL,LAPTOP
28,24,24:1,My HP is very heavy.,LAPTOP#DESIGN_FEATURES,negative,DESIGN_FEATURES,LAPTOP
29,24,24:2,Not easy to carry.,LAPTOP#PORTABILITY,negative,PORTABILITY,LAPTOP
30,24,24:3,The battery has never worked well.,BATTERY#QUALITY,negative,QUALITY,BATTERY
31,24,24:3,The battery has never worked well.,BATTERY#OPERATION_PERFORMANCE,negative,OPERATION_PERFORMANCE,BATTERY
32,24,24:4,The battery gets so HOT it is scary.,BATTERY#QUALITY,negative,QUALITY,BATTERY
33,24,24:5,"Yet, HP won't do anything about the problem.",SUPPORT#QUALITY,negative,QUALITY,SUPPORT
34,24,24:6,I returned the computer to HP and they kept it for 3 months.,SUPPORT#QUALITY,negative,QUALITY,SUPPORT
35,24,24:7,When I got the computer back and realizwed it still was not correct HP told me it was out of warranty and now it was my problem.,SUPPORT#QUALITY,negative,QUALITY,SUPPORT
36,24,24:8,"So, you can imagine how unhappy I am with this item.",LAPTOP#GENERAL,negative,GENERAL,LAPTOP
37,24,24:9,Currently if I use the laptop I can't sit it on my lap because it will burn my legs.,LAPTOP#QUALITY,negative,QUALITY,LAPTOP
38,24,24:10,I did contact HP and share how unhappy I am.,UNKNOWN#UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
39,24,24:11,"Well, they don't care a bunch.",SUPPORT#QUALITY,negative,QUALITY,SUPPORT
40,24,24:12,"But, at the same time they (the company) would not and could not do anything about my problem.",SUPPORT#QUALITY,negative,QUALITY,SUPPORT
41,24,24:13,I would  say if you want to buy one of these machines be careful.,LAPTOP#GENERAL,negative,GENERAL,LAPTOP
42,24,24:14,"And, if you are going to deal with HP be careful.",COMPANY#GENERAL,negative,GENERAL,COMPANY
43,24,24:15,"In my house, HP is a nasty word.",COMPANY#GENERAL,negative,GENERAL,COMPANY
44,277,277:0,"Since I purchased my Toshiba netbook, I have been very pleased with it, I have a laptob and a desktop.",LAPTOP#GENERAL,positive,GENERAL,LAPTOP
45,277,277:1,The netbook is easier for me to take to bed and carry around with me.,LAPTOP#PORTABILITY,positive,PORTABILITY,LAPTOP
46,277,277:2,"The screen takes some getting use to, because it is smaller than the laptop.",DISPLAY#USABILITY,neutral,USABILITY,DISPLAY
47,277,277:2,"The screen takes some getting use to, because it is smaller than the laptop.",DISPLAY#DESIGN_FEATURES,neutral,DESIGN_FEATURES,DISPLAY
48,277,277:3,I have not have any problems.,LAPTOP#GENERAL,positive,GENERAL,LAPTOP
49,178,178:0,"The Notebook PC,Toshiba Qosmio is the best gift my father could have ever gotten me.",LAPTOP#GENERAL,positive,GENERAL,LAPTOP
50,178,178:1,He gave me this PC about 3 years ago and up to this point im still sitting here using it.,LAPTOP#QUALITY,positive,QUALITY,LAPTOP
51,178,178:2,Its still going.,LAPTOP#QUALITY,positive,QUALITY,LAPTOP
52,178,178:3,It is in the best condition and has a really high quality.,LAPTOP#QUALITY,positive,QUALITY,LAPTOP
53,178,178:4,This is something i would deffinately reccomend to someone.,LAPTOP#GENERAL,positive,GENERAL,LAPTOP
54,178,178:5,You will not regret buying such a great thing like this!,LAPTOP#GENERAL,positive,GENERAL,LAPTOP
55,178,178:6,It can't get any better.,LAPTOP#GENERAL,positive,GENERAL,LAPTOP
56,77,77:0,"Waited on getting this computer, but it has been a great change.",LAPTOP#GENERAL,positive,GENERAL,LAPTOP
57,77,77:1,Ease of use is just one of the benefits I love about my Mac.,LAPTOP#USABILITY,positive,USABILITY,LAPTOP
58,342,342:0,This laptop meets every expectation and Windows 7 is great!,LAPTOP#GENERAL,positive,GENERAL,LAPTOP
59,342,342:0,This laptop meets every expectation and Windows 7 is great!,OS#GENERAL,positive,GENERAL,OS
60,342,342:1,"It's fast, it's easy easy easy to set up, easy to hook to my wireless network.",LAPTOP#OPERATION_PERFORMANCE,positive,OPERATION_PERFORMANCE,LAPTOP
61,342,342:1,"It's fast, it's easy easy easy to set up, easy to hook to my wireless network.",LAPTOP#USABILITY,positive,USABILITY,LAPTOP
62,342,342:1,"It's fast, it's easy easy easy to set up, easy to hook to my wireless network.",LAPTOP#CONNECTIVITY,positive,CONNECTIVITY,LAPTOP
63,342,342:2,It's even easy to hook up to other wireless networks.,LAPTOP#CONNECTIVITY,positive,CONNECTIVITY,LAPTOP
64,342,342:3,The battery doesn't last long but I'm sure an upgrade battery would solve that problem.,BATTERY#OPERATION_PERFORMANCE,neutral,OPERATION_PERFORMANCE,BATTERY
65,342,342:4,I don't use my laptop in a way though that needs a long battery life so it's perfect for me.,BATTERY#OPERATION_PERFORMANCE,positive,OPERATION_PERFORMANCE,BATTERY
66,348,348:0,"Most everything is fine with this machine: speed, capacity, build.",LAPTOP#GENERAL,positive,GENERAL,LAPTOP
