,text,categorys,polarity
0,Being a PC user my whole life....,[],na
1,This computer is absolutely AMAZING!!!,['GENERAL'],positive
2,10 plus hours of battery...,['BATTERY'],positive
3,super fast processor and really nice graphics card..,"['CPU', 'GRAPHICS']",positive
4,and plenty of storage with 250 gb(though I will upgrade this and the ram..),['HARD_DISC'],positive
5,This computer is really fast and I'm shocked as to how easy it is to get used to...,"['OPERATION_PERFORMANCE', 'USABILITY']",positive
6,I've only had mine a day but I'm already used to it...,['USABILITY'],positive
7,MACS ARE AMAZING!!!,[],na
8,GET THIS COMPUTER FOR PORTABILITY AND FAST PROCESSING!!!,"['PORTABILITY', 'CPU']",positive
9,the laptop was really good and it goes really fast just the way i thought it would of run.,"['GENERAL', 'OPERATION_PERFORMANCE']",positive
10,i would really recommend to any person out there to get this laptop cause its really worth it.,['GENERAL'],positive
11,and its really cheap and you wont regret buying it.,"['PRICE', 'GENERAL']",positive
12,"As a lifelong Windows user, I was extremely pleased to make the change to Mac.",[],na
13,"As a computer science student in college, I find that the portability, longevity, and ease of use of this computer make me (shockingly) want to do homework more;","['PORTABILITY', 'QUALITY', 'USABILITY']",positive
14,"without a big ol' clunky machine in my backpack, I feel like I can do programming homework anywhere.","['DESIGN_FEATURES', 'PORTABILITY', 'MISCELLANEOUS']",positive
15,I highly recommend this computer for students looking for a solid machine to get them through college.,"['MISCELLANEOUS', 'QUALITY']",positive
16,"A great feature is the spotlight search: one can search for documents by simply typing a keyword, rather than parsing tens of file folders for a document.",['OS'],positive
17,Oh my goodness-I am not a happy camper.,['GENERAL'],negative
18,My HP is very heavy.,['DESIGN_FEATURES'],negative
19,Not easy to carry.,['PORTABILITY'],negative
20,The battery has never worked well.,"['BATTERY', 'BATTERY']",negative
21,The battery gets so HOT it is scary.,['BATTERY'],negative
22,"Yet, HP won't do anything about the problem.",['SUPPORT'],negative
23,I returned the computer to HP and they kept it for 3 months.,['SUPPORT'],negative
24,When I got the computer back and realizwed it still was not correct HP told me it was out of warranty and now it was my problem.,['SUPPORT'],negative
25,"So, you can imagine how unhappy I am with this item.",['GENERAL'],negative
26,Currently if I use the laptop I can't sit it on my lap because it will burn my legs.,['QUALITY'],negative
27,I did contact HP and share how unhappy I am.,[],na
28,"Well, they don't care a bunch.",['SUPPORT'],negative
29,"But, at the same time they (the company) would not and could not do anything about my problem.",['SUPPORT'],negative
30,I would  say if you want to buy one of these machines be careful.,['GENERAL'],negative
31,"And, if you are going to deal with HP be careful.",['COMPANY'],negative
32,"In my house, HP is a nasty word.",['COMPANY'],negative
33,"Since I purchased my Toshiba netbook, I have been very pleased with it, I have a laptob and a desktop.",['GENERAL'],positive
34,The netbook is easier for me to take to bed and carry around with me.,['PORTABILITY'],positive
35,"The screen takes some getting use to, because it is smaller than the laptop.","['DISPLAY', 'DISPLAY']",neutral
36,I have not have any problems.,['GENERAL'],positive
37,"The Notebook PC,Toshiba Qosmio is the best gift my father could have ever gotten me.",['GENERAL'],positive
38,He gave me this PC about 3 years ago and up to this point im still sitting here using it.,['QUALITY'],positive
39,Its still going.,['QUALITY'],positive
40,It is in the best condition and has a really high quality.,['QUALITY'],positive
41,This is something i would deffinately reccomend to someone.,['GENERAL'],positive
42,You will not regret buying such a great thing like this!,['GENERAL'],positive
43,It can't get any better.,['GENERAL'],positive
44,"Waited on getting this computer, but it has been a great change.",['GENERAL'],positive
45,Ease of use is just one of the benefits I love about my Mac.,['USABILITY'],positive
46,This laptop meets every expectation and Windows 7 is great!,"['GENERAL', 'OS']",positive
47,"It's fast, it's easy easy easy to set up, easy to hook to my wireless network.","['OPERATION_PERFORMANCE', 'USABILITY', 'CONNECTIVITY']",positive
